id,year,round,date,day,hometeam,awayteam,venue,timeslot,homegoals,homebehinds,hometotal,awaygoals,awaybehinds,awaytotal
8836,2024,4,2024-04-07 15:20:00,Sunday,Richmond,St Kilda,Norwood Oval,D,9,6,60,9,13,67
8835,2024,4,2024-04-07 12:30:00,Sunday,Gold Coast,Greater Western Sydney,Summit Sports Park,N,13,11,89,18,9,117
8834,2024,4,2024-04-06 19:10:00,Saturday,Western Bulldogs,Geelong,Adelaide Oval,N,14,7,91,14,11,95
8833,2024,4,2024-04-06 15:20:00,Saturday,Fremantle,Carlton,Adelaide Oval,D,9,9,63,10,13,73
8832,2024,4,2024-04-06 12:30:00,Saturday,West Coast,Sydney,Summit Sports Park,D,11,12,78,15,14,104
8831,2024,4,2024-04-05 19:10:00,Friday,Port Adelaide,Essendon,Adelaide Oval,N,17,9,111,6,6,42
8830,2024,4,2024-04-05 16:10:00,Friday,Brisbane Lions,North Melbourne,Norwood Oval,T,16,16,112,6,6,42
8829,2024,4,2024-04-04 18:40:00,Thursday,Adelaide,Melbourne,Adelaide Oval,N,8,15,63,10,18,78
8828,2024,3,2024-04-01 15:20:00,Monday,Hawthorn,Geelong,M.C.G.,D,10,10,70,17,4,106
8827,2024,3,2024-03-31 16:00:00,Sunday,Richmond,Sydney,M.C.G.,T,11,16,82,11,11,77
8826,2024,3,2024-03-31 13:00:00,Sunday,Western Bulldogs,West Coast,Docklands,D,16,10,106,3,12,30
8825,2024,3,2024-03-30 19:30:00,Saturday,Port Adelaide,Melbourne,Adelaide Oval,N,13,11,89,15,6,96
8824,2024,3,2024-03-30 16:20:00,Saturday,Essendon,St Kilda,Docklands,T,10,11,71,9,13,67
8823,2024,3,2024-03-29 19:20:00,Friday,Fremantle,Adelaide,Perth Stadium,T,9,15,69,4,10,34
8822,2024,3,2024-03-29 16:20:00,Friday,North Melbourne,Carlton,Docklands,T,12,9,81,21,11,137
8821,2024,3,2024-03-28 19:30:00,Thursday,Brisbane Lions,Collingwood,Gabba,N,10,12,72,14,8,92
8820,2024,2,2024-03-24 18:50:00,Sunday,West Coast,Greater Western Sydney,Perth Stadium,D,5,13,43,16,12,108
8819,2024,2,2024-03-24 16:00:00,Sunday,Richmond,Port Adelaide,M.C.G.,T,13,14,92,18,14,122
8818,2024,2,2024-03-24 13:00:00,Sunday,Western Bulldogs,Gold Coast,Eureka Stadium,D,18,7,115,10,7,67
8817,2024,2,2024-03-23 19:30:00,Saturday,Sydney,Essendon,S.C.G.,N,19,17,131,15,11,101
8816,2024,2,2024-03-23 16:35:00,Saturday,Hawthorn,Melbourne,M.C.G.,T,5,8,38,14,9,93
8815,2024,2,2024-03-23 13:45:00,Saturday,North Melbourne,Fremantle,Docklands,D,11,10,76,15,12,102
8814,2024,2,2024-03-22 19:40:00,Friday,Adelaide,Geelong,Adelaide Oval,N,11,11,77,14,12,96
8813,2024,2,2024-03-21 19:30:00,Thursday,St Kilda,Collingwood,M.C.G.,N,14,10,94,12,7,79
8812,2024,1,2024-03-17 18:50:00,Sunday,Fremantle,Brisbane Lions,Perth Stadium,D,14,9,93,10,10,70
8811,2024,1,2024-03-17 16:00:00,Sunday,Port Adelaide,West Coast,Adelaide Oval,T,16,24,120,10,10,70
8810,2024,1,2024-03-17 13:00:00,Sunday,Melbourne,Western Bulldogs,M.C.G.,D,16,13,109,9,10,64
8809,2024,1,2024-03-16 20:10:00,Saturday,Gold Coast,Adelaide,Carrara,N,8,12,60,8,6,54
